GB_GCA_000010565.1	Pelotomaculum thermopropionicum SI
RS_GCF_000440635.1	Streptococcus suis 89-3576-3
RS_GCF_000440655.1	Streptococcus suis 89-4109-1
RS_GCF_000440675.1	Streptococcus suis 89-5259
RS_GCF_000440695.1	Streptococcus suis 92-1191
RS_GCF_000440715.1	Streptococcus suis 92-1400
RS_GCF_000440735.1	Streptococcus suis 92-4172
RS_GCF_000440755.1	Streptococcus suis 93A
RS_GCF_000440835.1	Streptococcus suis NCTC 10446
RS_GCF_000440875.1	Streptococcus suis 88-1861
RS_GCF_000440895.1	Streptococcus suis 88-5299A
RS_GCF_000440915.1	Streptococcus suis 89-590
RS_GCF_000440935.1	Streptococcus suis 5428
RS_GCF_000440975.1	Streptococcus suis YS12
RS_GCF_000441015.1	Streptococcus suis YS16
RS_GCF_000441035.1	Streptococcus suis YS17
RS_GCF_000441155.1	Streptococcus suis YS27
RS_GCF_000441175.1	Streptococcus suis YS31
RS_GCF_000441195.1	Streptococcus suis YS34
RS_GCF_000441215.1	Streptococcus suis YS35
RS_GCF_000441255.1	Streptococcus suis YS3
RS_GCF_000441275.1	Streptococcus suis YS43
RS_GCF_000441315.1	Streptococcus suis YS46
RS_GCF_000441355.1	Streptococcus suis YS50
RS_GCF_000441415.1	Streptococcus suis YS64
RS_GCF_000441475.1	Streptococcus suis YS77
RS_GCF_000441495.1	Streptococcus suis YS7
RS_GCF_000441535.1	Streptococcus lutetiensis 033
RS_GCF_000441555.1	Candidatus Profftella armatura
RS_GCF_000441735.1	Chlamydia trachomatis RC-J
RS_GCF_000442105.1	Bacteroidetes bacterium oral taxon 272 str. F0290
RS_GCF_000442155.1	Streptococcus oralis subsp. tigurinus 2425
RS_GCF_000442255.1	Salipiger mucosus DSM 16094
RS_GCF_000442275.2	Litoreibacter arenae DSM 19593
RS_GCF_000442315.1	Rubellimicrobium thermophilum DSM 16684
RS_GCF_000442435.1	Rhizobium etli bv. mimosae str. Mim1
RS_GCF_000442515.1	Phaeospirillum fulvum MGU-K5
RS_GCF_000442535.1	Paenibacillus alvei A6-6i-x
RS_GCF_000442555.1	Paenibacillus alvei TS-15
RS_GCF_000442595.1	Cycloclasticus zancles 78-ME
RS_GCF_000442645.1	Corynebacterium maris DSM 45190
RS_GCF_000442845.1	Lactococcus lactis subsp. lactis A12
RS_GCF_000442905.1	Avibacterium paragallinarum JF4211
RS_GCF_000443165.1	Thauera terpenica 58Eu
RS_GCF_000443775.1	Anoxybacillus sp. SK3-4
RS_GCF_000443995.1	Bacteriovorax sp. BAL6_X
RS_GCF_000444055.1	Alicyclobacillus acidoterrestris ATCC 49025
RS_GCF_000444095.1	Paeniclostridium sordellii VPI 9048
RS_GCF_000444175.1	Helicobacter pylori wls-5-3
RS_GCF_000444305.1	Helicobacter pylori UM111
RS_GCF_000444325.1	Helicobacter pylori UM023
RS_GCF_000444345.1	Helicobacter pylori UM038
RS_GCF_000444365.1	Helicobacter pylori UM065
RS_GCF_000444385.1	Helicobacter pylori UM084
RS_GCF_000444495.1	Helicobacter pylori UM114
RS_GCF_000444585.1	Haemophilus parasuis MN-H
RS_GCF_000444645.1	Haemophilus parasuis H465
RS_GCF_000444685.1	Haemophilus parasuis 174
RS_GCF_000444745.1	Helicobacter pylori UM085
RS_GCF_000444785.1	Helicobacter pylori UM067
RS_GCF_000444805.1	Bacillus pumilus CCMA-560
RS_GCF_000444875.1	Streptomyces collinus Tu 365
RS_GCF_000444995.1	Paracoccus aminophilus JCM 7686
RS_GCF_000445065.1	Sphingobium quisquiliarum P25
RS_GCF_000445085.1	Sphingobium sp. HDIP04
RS_GCF_000445105.1	Sphingobium lactosutens DS20
RS_GCF_000445125.1	Novosphingobium lindaniclasticum LE124
RS_GCF_000445145.1	Sphingobium baderi LL03
RS_GCF_000445425.4	Borrelia miyamotoi LB-2001
RS_GCF_000445445.1	Sporomusa ovata DSM 2662
RS_GCF_000445475.1	Sulfurimonas sp. AST-10
RS_GCF_000445495.1	Virgibacillus sp. CM-4
RS_GCF_000445995.2	Geobacillus sp. JF8
RS_GCF_000447205.1	Sphingobium ummariense RL-3
RS_GCF_000447295.1	Fischerella sp. PCC 9431
RS_GCF_000447315.1	Clostridium sp. BL8
RS_GCF_000447415.1	Photorhabdus temperata subsp. temperata M1021
RS_GCF_000447675.1	Treponema pedis str. T A4
RS_GCF_000447755.1	Bacteriovorax sp. BSW11_IV
RS_GCF_000447775.1	Bacteriovorax sp. DB6_IX
RS_GCF_000447795.1	Bacteriovorax sp. Seq25_V
RS_GCF_000447885.1	Lactococcus lactis subsp. cremoris TIFN1
RS_GCF_000448065.1	Neisseria meningitidis NM3139
RS_GCF_000448405.1	Helicobacter pylori PZ5004
RS_GCF_000448425.1	Helicobacter pylori PZ5024
RS_GCF_000448445.1	Helicobacter pylori PZ5026
RS_GCF_000448465.1	Helicobacter pylori PZ5056
RS_GCF_000448485.1	Helicobacter pylori PZ5080
RS_GCF_000448505.1	Helicobacter pylori PZ5086
RS_GCF_000448605.1	Streptococcus sp. HSISS3
RS_GCF_000448705.1	Veillonella parvula HSIVP1
RS_GCF_000449425.2	Peptoclostridium difficile CD160
RS_GCF_000452245.2	Paraclostridium bifermentans ATCC 638
RS_GCF_000452705.1	Pseudomonas syringae CC1557
RS_GCF_000452745.1	Pseudomonas syringae CC1524
RS_GCF_000452865.1	Pseudomonas syringae UB246
RS_GCF_000452905.1	Pseudomonas syringae CC1544
RS_GCF_000453325.1	Acinetobacter baumannii TG27311
RS_GCF_000454025.1	Amycolatopsis mediterranei RB
RS_GCF_000454065.1	Brevibacillus thermoruber 423
RS_GCF_000454545.1	Xanthomonas cassavae CFBP 4642
RS_GCF_000454725.1	Chlamydia ibidis 10-1398/6
RS_GCF_000455125.1	Mycobacterium sp. UM_WGJ
RS_GCF_000455145.1	Mycobacterium sp. UM_WWY
RS_GCF_000455165.1	Mycobacterium iranicum UM_TJL
RS_GCF_000455185.1	Mycobacterium sp. UM_RHS
RS_GCF_000455205.1	Mycobacterium sp. UM_CSW
RS_GCF_000455225.1	Megasphaera massiliensis
RS_GCF_000455245.1	Nesterenkonia massiliensis
RS_GCF_000455265.1	Paenibacillus sp. GD11
RS_GCF_000455285.1	Candidatus Stoquefichus massiliensis AP9
RS_GCF_000455305.1	Mycobacterium simiae ATCC 25275 / DSM 44165
RS_GCF_000455325.1	Mycobacterium septicum DSM 44393
RS_GCF_000455385.1	Pseudomonas alcaligenes OT 69
RS_GCF_000455445.1	Prevotella timonensis 4401737 / DSM 22865 / JCM 15640
RS_GCF_000455485.1	Gorillibacterium massiliense
RS_GCF_000455525.1	Candidatus Microthrix parvicella RN1
RS_GCF_000455565.1	Bacillus velezensis UCMB5033
RS_GCF_000455605.1	Flavobacterium indicum GPTSA100-9 / DSM 17447
RS_GCF_000455665.1	Pseudomonas stutzeri MF28
RS_GCF_000455765.1	Helicobacter pylori GAM117Ai
RS_GCF_000455825.1	Microbacterium maritypicum MF109
RS_GCF_000455965.1	Fusobacterium nucleatum subsp. vincentii ChDC F8
RS_GCF_000455985.1	Fusobacterium nucleatum subsp. animalis ChDC F324
RS_GCF_000462205.1	Pseudogulbenkiania ferrooxidans EGD-HP2
RS_GCF_000463015.1	Variovorax paradoxus B4
RS_GCF_000463075.2	Lactobacillus plantarum EGD-AQ4
RS_GCF_000463115.2	Franconibacter helveticus LMG 23732
RS_GCF_000463155.2	Siccibacter turicensis LMG 23730
RS_GCF_000463345.1	Serratia sp. ATCC 39006
RS_GCF_000463355.1	Streptococcus intermedius B196
RS_GCF_000463385.1	Streptococcus intermedius C270
RS_GCF_000463395.1	Streptococcus constellatus subsp. pharyngis C232
RS_GCF_000463425.1	Streptococcus constellatus subsp. pharyngis C1050
RS_GCF_000463505.1	Streptococcus anginosus C238
RS_GCF_000463525.1	Marinimicrobium sp. LS-A18
RS_GCF_000463545.2	Staphylococcus sp. EGD-HP3
RS_GCF_000464435.1	Vibrio campbellii ATCC BAA-1116
RS_GCF_000464455.1	Treponema socranskii subsp. socranskii VPI DR56BR1116 / ATCC 35536
RS_GCF_000464495.1	Propionibacterium granulosum TM11
RS_GCF_000464615.2	Gallibacterium anatis 12656/12
RS_GCF_000464665.1	Planktothrix agardhii NIVA-CYA 15
RS_GCF_000464745.1	Planktothrix mougeotii NIVA-CYA 405
RS_GCF_000464765.1	Planktothrix prolifica NIVA-CYA 406
RS_GCF_000464785.1	Planktothrix rubescens NIVA-CYA 407
RS_GCF_000464805.1	Planktothrix prolifica NIVA-CYA 540
RS_GCF_000464825.1	Planktothrix agardhii NIVA-CYA 56/3
RS_GCF_000464845.1	Planktothrix prolifica NIVA-CYA 98
RS_GCF_000465035.1	Treponema pedis isoE1186
RS_GCF_000465075.1	Treponema pedis isoM1224
RS_GCF_000465095.1	Treponema pedis str. B 683
RS_GCF_000465465.1	Bacillus sp. NSP9.1
RS_GCF_000465555.2	Pantoea dispersa EGD-AAK13
RS_GCF_000465835.2	Ochrobactrum sp. EGD-AQ16
RS_GCF_000465935.2	Pseudomonas sp. EGD-AK9
RS_GCF_000466165.1	Actinobaculum sp. oral taxon 183 str. F0552
RS_GCF_000466185.1	Actinomyces graevenitzii F0530
RS_GCF_000466205.2	Actinomyces johnsonii F0510
RS_GCF_000466245.1	Actinomyces johnsonii F0542
RS_GCF_000466265.1	Actinomyces sp. oral taxon 172 str. F0311
RS_GCF_000466305.1	Actinomyces sp. oral taxon 877 str. F0543
RS_GCF_000466335.1	Aggregatibacter sp. oral taxon 458 str. W10330
RS_GCF_000466365.1	Alloscardovia omnicolens F0580
RS_GCF_000466385.1	Aneurinibacillus aneurinilyticus ATCC 12856
RS_GCF_000466405.1	Atopobium sp. oral taxon 810 str. F0209
RS_GCF_000466425.1	Capnocytophaga sp. oral taxon 863 str. F0517
RS_GCF_000466465.2	Clostridium sp. KLE 1755
RS_GCF_000466565.1	Blautia sp. KLE 1732
RS_GCF_000466585.1	Clostridiales bacterium oral taxon 876 str. F0540
RS_GCF_000466605.1	Clostridium sp. ATCC 29733
RS_GCF_000466645.1	Campylobacter concisus UNSW3
RS_GCF_000466665.1	Campylobacter concisus UNSW1
RS_GCF_000466685.1	Campylobacter concisus UNSWCS
RS_GCF_000466705.1	Campylobacter concisus ATCC 51561
RS_GCF_000466725.1	Campylobacter concisus UNSW2
RS_GCF_000466745.1	Campylobacter concisus ATCC 51562
RS_GCF_000466945.1	Novosphingobium tardaugens NBRC 16725
RS_GCF_000466965.1	Loktanella cinnabarina LL-001
RS_GCF_000466985.1	Brevundimonas abyssalis TAR-001
RS_GCF_000467105.1	Pseudomonas alcaligenes NBRC 14159
RS_GCF_000467125.1	Vibrio proteolyticus NBRC 13287
RS_GCF_000467165.1	Vibrio azureus NBRC 104587
RS_GCF_000467185.1	Vibrio ezurae NBRC 102218
RS_GCF_000467815.1	Porphyromonas gingivalis F0569
RS_GCF_000467855.2	Porphyromonas sp. oral taxon 278 str. W7784
RS_GCF_000467895.1	Prevotella sp. F0091
RS_GCF_000467915.2	Streptococcus sobrinus W1703
RS_GCF_000467935.1	Peptostreptococcaceae bacterium oral taxon 113 str. W5053
RS_GCF_000468015.1	Ruminococcus callidus ATCC 27760
RS_GCF_000468035.1	Selenomonas sp. oral taxon 892 str. F0426
RS_GCF_000468055.1	Treponema lecithinolyticum ATCC 700332
RS_GCF_000468095.1	Pantoea sp. AS-PWVM4
RS_GCF_000468135.1	Prevotella pleuritidis F0068
RS_GCF_000468215.1	Arthrobacter sp. CAL618
RS_GCF_000468295.1	Streptococcus pneumoniae WL677
RS_GCF_000468475.2	Actinomadura madurae LIID-AJ290
RS_GCF_000468495.1	Desulfovibrio gigas DSM 1382 / ATCC 19364
RS_GCF_000468535.1	Peptoniphilus sp. ChDC B134
RS_GCF_000468615.2	Cellulophaga baltica 18
RS_GCF_000468635.1	Prevotella baroniae F0067
RS_GCF_000468755.1	Olsenella profusa F0195
RS_GCF_000468815.1	Atopobium sp. BV3Ac4
RS_GCF_000468855.1	Coriobacteriaceae bacterium BV3Ac1
RS_GCF_000468895.1	Jonquetella sp. BV3C21
RS_GCF_000468955.1	Lactococcus lactis subsp. cremoris KW2
RS_GCF_000469135.1	Bacillus sp. SB49
RS_GCF_000469155.1	alpha proteobacterium RS24
RS_GCF_000469305.1	Faecalitalea cylindroides ATCC 27803
RS_GCF_000469325.1	Lactobacillus shenzhenensis LY-73
RS_GCF_000469345.1	Eubacterium ramulus ATCC 29099
RS_GCF_000469385.1	Leptotrichia sp. oral taxon 879 str. F0557
RS_GCF_000469405.1	Leptotrichia wadei F0279
RS_GCF_000469425.1	Oscillibacter sp. KLE 1728
RS_GCF_000469445.2	Oscillibacter sp. KLE 1745
RS_GCF_000469465.1	Gemella bergeriae ATCC 700627
RS_GCF_000469485.1	Leifsonia aquatica ATCC 14665
RS_GCF_000469505.1	Leptotrichia sp. oral taxon 215 str. W9775
RS_GCF_000469525.1	Leptotrichia sp. oral taxon 225 str. F0581
RS_GCF_000469545.1	Mitsuokella sp. oral taxon 131 str. W9106
RS_GCF_000469565.1	Oribacterium sp. oral taxon 078 str. F0263
RS_GCF_000469585.1	Chrysiogenes arsenatis DSM 11915
RS_GCF_000469625.2	Clostridium intestinale URNW
RS_GCF_000469665.2	Holospora obtusa F1
RS_GCF_000469825.1	Kingella kingae AA255
RS_GCF_000469845.1	Kingella kingae AA068
RS_GCF_000469865.1	Kingella kingae AA105
RS_GCF_000469945.2	Paenibacillus sp. P22
RS_GCF_000469965.1	Kingella kingae D2363
RS_GCF_000470005.1	Kingella kingae KK113
RS_GCF_000470055.1	Campylobacter coli 76339
RS_GCF_000470075.1	Helicobacter pylori HP87P7tlpDRI
RS_GCF_000470095.1	Kingella kingae CC254
RS_GCF_000470135.1	Helicobacter pylori HP87hu
RS_GCF_000470155.1	Kingella kingae KK145
RS_GCF_000470175.1	Kingella kingae PV1748
RS_GCF_000470215.1	Kingella kingae KK242
RS_GCF_000470235.1	Kingella kingae KK97
RS_GCF_000470295.1	Kingella kingae KK189
RS_GCF_000470315.1	Psychromonas sp. SP041
RS_GCF_000470335.1	Kingella kingae KK75
RS_GCF_000470375.1	Kingella kingae Vir5453
RS_GCF_000470395.1	Kingella kingae KK56
RS_GCF_000470535.1	Streptomyces sp. AW19M42
RS_GCF_000470635.1	Kingella kingae KK158
RS_GCF_000470745.1	Halomonas huangheensis
RS_GCF_000470775.1	Leifsonia xyli subsp. cynodontis DSM 46306
RS_GCF_000470805.1	Chlamydia pecorum W73
RS_GCF_000471025.2	Chlamydia gallinacea 08-1274/3
RS_GCF_000471045.1	actinobacterium LLX17
RS_GCF_000471625.1	Psychrobacter aquaticus CMS 56
RS_GCF_000471645.1	Candidatus Schmidhempelia bombi str. Bimp
RS_GCF_000471705.1	Bordetella trematum CCUG 13902
RS_GCF_000471845.1	[Clostridium] scindens VE202-05
RS_GCF_000471925.1	Ralstonia pickettii DTP0602
RS_GCF_000471965.1	Blattabacterium sp.
RS_GCF_000472025.1	Gordonia amicalis CCMA-559
RS_GCF_000472185.1	Rhodobacteraceae bacterium HIMB11
RS_GCF_000472285.1	Desulfuromonas sp. TF
RS_GCF_000472305.1	Helicobacter pylori CG-IMSS-2012
RS_GCF_000472385.1	Bradyrhizobium sp. ARR65
RS_GCF_000472405.1	Propionibacterium acnes DSM 1897
RS_GCF_000472425.1	Bradyrhizobium sp. Tv2a-2
RS_GCF_000472445.1	Burkholderia sp. WSM2230
RS_GCF_000472465.1	Cupriavidus taiwanensis STM 6018
RS_GCF_000472485.1	Pontibacter actiniarum DSM 19842
RS_GCF_000472505.1	Luteimonas sp. J29
RS_GCF_000472525.1	Paraburkholderia dilworthii
RS_GCF_000472545.1	Burkholderia sp. WSM2232
RS_GCF_000472565.1	Candidatus Pelagibacter ubique HTCC9022
RS_GCF_000472605.1	Candidatus Pelagibacter ubique HTCC8051
RS_GCF_000472625.1	Caloramator sp. ALD01
RS_GCF_000472645.1	Bradyrhizobium sp. WSM2254
RS_GCF_000472665.1	Acetobacterium dehalogenans DSM 11527
RS_GCF_000472685.1	Bradyrhizobium sp. USDA 3384
RS_GCF_000472705.1	Mesorhizobium erdmanii USDA 3471
RS_GCF_000472725.1	Bradyrhizobium japonicum USDA 4
RS_GCF_000472745.1	Bradyrhizobium japonicum USDA 38
RS_GCF_000472785.1	Mesorhizobium loti CJ3sym
RS_GCF_000472805.1	Desulfosarcina sp. BuS5
RS_GCF_000472825.1	Paraburkholderia mimosarum LMG 23256 / NBRC 106338
RS_GCF_000472845.1	Paraburkholderia mimosarum STM 3621
RS_GCF_000472865.1	Bradyrhizobium elkanii WSM2783
RS_GCF_000472905.1	Alicyclobacillus pomorum DSM 14955
RS_GCF_000472925.1	Bradyrhizobium sp. Ec3.3
RS_GCF_000472945.1	Bradyrhizobium japonicum USDA 135
RS_GCF_000472965.1	Bradyrhizobium elkanii WSM1741
RS_GCF_000472985.1	Bradyrhizobium japonicum USDA 6
RS_GCF_000473005.1	Bradyrhizobium elkanii USDA 3259
RS_GCF_000473045.1	Bradyrhizobium sp. WSM3983
RS_GCF_000473065.1	Bradyrhizobium sp. WSM1743
RS_GCF_000473085.1	Azorhizobium doebereinerae UFLA1-100
RS_GCF_000473105.1	Phaeobacter inhibens DSM 16374
RS_GCF_000473125.1	Bradyrhizobium genosp. SA-4 str. CB756
RS_GCF_000473145.1	Leisingera daeponensis DSM 23529
RS_GCF_000473165.1	Leisingera aquimarina DSM 24565
RS_GCF_000473205.1	Pseudophaeobacter arcticus DSM 23566
RS_GCF_000473225.1	Sedimentitalea nanhaiensis DSM 24252
RS_GCF_000473245.1	Bacillus infantis NRRL B-14911
RS_GCF_000473265.1	Amycolatopsis thermoflava N1165
RS_GCF_000473305.1	Bacteroidales bacterium CF
RS_GCF_000473325.1	Leisingera caerulea DSM 24564
RS_GCF_000473345.1	Rhodanobacter sp. OR87
RS_GCF_000473365.1	Adhaeribacter aquaticus DSM 16391
RS_GCF_000473465.1	Paraburkholderia sprentiae WSM5005
RS_GCF_000473485.1	Burkholderia cepacia ATCC 25416
RS_GCF_000473545.1	Vibrio cyclitrophicus FF75
RS_GCF_000473765.1	Rhodonellum psychrophilum GCM71 / DSM 17998
RS_GCF_000473865.1	Caldanaerobacter subterraneus subsp. yonseiensis KB-1
RS_GCF_000473895.1	Rubidibacter lacunae KORDI 51-2
RS_GCF_000473955.1	Coprobacter fastidiosus NSB1
RS_GCF_000473995.1	Clostridium saccharobutylicum DSM 13864
RS_GCF_000474075.1	Streptococcus constellatus subsp. constellatus SK53
RS_GCF_000474155.1	Streptococcus anginosus T5
RS_GCF_000474215.1	Edwardsiella hoshinae NBRC 105699 / ATCC 33379
RS_GCF_000474255.1	Pseudomonas alcaligenes MRY13-0052
RS_GCF_000474275.2	Bacillus marmarensis DSM 21297
RS_GCF_000474725.1	Mesorhizobium ciceri ca181
RS_GCF_000474745.1	Chitinivibrio alkaliphilus ACht1
RS_GCF_000474945.1	Solimonas soli DSM 21787
RS_GCF_000475255.1	Marinobacter sp. ES-1
RS_GCF_000475295.1	Alcanivorax sp. P2S70
RS_GCF_000475395.1	Labrenzia sp. C1B70
RS_GCF_000475415.1	Halomonas sp. PBN3
RS_GCF_000475455.1	Helicobacter pylori SA45A
RS_GCF_000475475.1	Helicobacter pylori SA233A
RS_GCF_000475515.1	Helicobacter pylori SA302C
RS_GCF_000475535.1	Helicobacter pylori SA220A
RS_GCF_000475575.1	Helicobacter pylori SA161C
RS_GCF_000475595.1	Helicobacter pylori SA162C
RS_GCF_000475615.1	Helicobacter pylori SA157A
RS_GCF_000475655.1	Helicobacter pylori SA226A
RS_GCF_000475695.1	Helicobacter pylori SA173C
RS_GCF_000475735.1	Helicobacter pylori SA40A
RS_GCF_000475775.1	Helicobacter pylori SA156A
RS_GCF_000475895.1	Helicobacter pylori SA194C
RS_GCF_000475915.1	Helicobacter pylori SA155C
RS_GCF_000476015.1	Helicobacter pylori SA37A
RS_GCF_000476055.1	Helicobacter pylori SA171A
RS_GCF_000476215.1	Helicobacter pylori SA175C
RS_GCF_000476255.1	Helicobacter pylori SA166A
RS_GCF_000476275.1	Helicobacter pylori SA213A
RS_GCF_000476295.1	Helicobacter pylori SA47A
RS_GCF_000476415.1	Helicobacter pylori SA34A
RS_GCF_000476435.1	Helicobacter pylori SA222C
RS_GCF_000476475.1	Helicobacter pylori SA253C
RS_GCF_000476515.1	Helicobacter pylori SA31C
RS_GCF_000476635.1	Helicobacter pylori SA30A
RS_GCF_000476655.1	Helicobacter pylori SA303C
RS_GCF_000476675.1	Helicobacter pylori SA168A
RS_GCF_000476715.1	Helicobacter pylori SA301A
RS_GCF_000476815.1	Helicobacter pylori SA172C
RS_GCF_000476855.1	Helicobacter pylori SA221C
RS_GCF_000476915.1	Helicobacter pylori SA165A
RS_GCF_000476995.1	Helicobacter pylori SA36C
RS_GCF_000477015.1	Helicobacter pylori SA174A
RS_GCF_000477035.2	Cellulophaga baltica NN016038
RS_GCF_000477135.1	Helicobacter pylori SA251A
RS_GCF_000477155.1	Helicobacter pylori SA170C
RS_GCF_000477175.1	Helicobacter pylori SA146A
RS_GCF_000477235.1	Helicobacter pylori SA160A
RS_GCF_000477275.1	Kingella kingae KK93
RS_GCF_000477295.1	Kingella kingae BB631
RS_GCF_000477335.1	Kingella kingae KK141
RS_GCF_000477415.1	Mycoplasma parvum str. Indiana
RS_GCF_000477435.1	Candidatus Symbiobacter mobilis CR
RS_GCF_000477535.1	Prevotella salivae F0493
RS_GCF_000477555.1	Leifsonia rubra CMS 76R
RS_GCF_000477715.1	Propionibacterium sp. KPL1844
RS_GCF_000477875.1	Corynebacterium sp. KPL2004
RS_GCF_000477935.1	Corynebacterium sp. KPL1995
RS_GCF_000478015.1	Corynebacterium sp. KPL1859
RS_GCF_000478055.1	Corynebacterium sp. KPL1856
RS_GCF_000478135.1	Corynebacterium sp. KPL1818
RS_GCF_000478195.2	Lyngbya aestuarii BL J
RS_GCF_000478275.1	Amycolatopsis orientalis DSM 40040 / KCTC 9412
RS_GCF_000478365.1	Herbaspirillum huttiense subsp. putei IAM 15032
RS_GCF_000478505.2	Pseudomonas sp. HPB0071
RS_GCF_000478565.1	Methyloversatilis universalis Fam500
RS_GCF_000478585.1	Thiomicrospira sp. Kp2
RS_GCF_000478605.1	Streptomyces thermolilacinus SPC6
RS_GCF_000478685.1	Candidatus Photodesmus katoptron Akat1
RS_GCF_000478745.1	Streptococcus suis EA1832.92
RS_GCF_000478825.2	Synechocystis sp. PCC 6714
RS_GCF_000478885.1	Adlercreutzia equolifaciens DSM 19450
RS_GCF_000478905.1	Candidatus Pantoea carbekii
RS_GCF_000478945.1	Peptoniphilus sp. BV3AC2
RS_GCF_000478965.1	Megasphaera sp. BV3C16-1
RS_GCF_000478985.1	Peptoniphilus sp. BV3C26
RS_GCF_000479005.1	Prevotella sp. BV3P1
RS_GCF_000479025.1	Rothia aeria F0184
RS_GCF_000479045.1	Cetobacterium somerae ATCC BAA-474
RS_GCF_000479185.1	Fusobacterium nucleatum CTI-6
RS_GCF_000479225.1	Fusobacterium nucleatum CTI-5
RS_GCF_000479245.1	Fusobacterium nucleatum CTI-3
RS_GCF_000479265.1	Fusobacterium nucleatum CTI-2
RS_GCF_000479315.1	Streptococcus sp. I-P16
RS_GCF_000479335.1	Streptococcus sp. I-G2
RS_GCF_000479355.1	Mesoplasma florum W37
RS_GCF_000480335.1	Bacillus megaterium MSP20.1
RS_GCF_000482245.1	Leptolyngbya sp. Heron Island J
RS_GCF_000482305.1	Chryseobacterium sp. UNC8MFCol
RS_GCF_000482325.1	Bacillus sp. UNC438CL73TsuS30
RS_GCF_000482345.1	Bacillus sp. UNC437CL72CviS29
RS_GCF_000482365.1	Porphyromonas uenonis DSM 23387 / JCM 13868
RS_GCF_000482385.1	Nocardia sp. CNY236
RS_GCF_000482425.1	Bradyrhizobium japonicum 22
RS_GCF_000482445.1	Xanthomonas oryzae ATCC 35933
RS_GCF_000482465.1	Runella limosa DSM 17973
RS_GCF_000482485.1	Paucisalibacillus globulus DSM 18846
RS_GCF_000482505.1	Leptotrichia trevisanii DSM 22070
RS_GCF_000482525.1	Bradyrhizobium japonicum USDA 123
RS_GCF_000482545.1	Arthrobacter sp. 35W
RS_GCF_000482585.1	Streptomyces sp. CNQ329
RS_GCF_000482705.1	Glycomyces arizonensis DSM 44726
RS_GCF_000482725.1	Psychromonas arctica DSM 14288
RS_GCF_000482745.1	Desulfovibrio alaskensis DSM 16109
RS_GCF_000482765.1	Meiothermus taiwanensis DSM 14542
RS_GCF_000482785.1	Derxia gummosa DSM 723
RS_GCF_000482805.1	Deinococcus murrayi DSM 11303
RS_GCF_000482825.1	Thermodesulfovibrio islandicus DSM 12570
RS_GCF_000482845.1	Anaerobiospirillum succiniciproducens DSM 6400
RS_GCF_000482865.1	Actinokineospora inagensis DSM 44258
RS_GCF_000483125.1	Atopobium fossor DSM 15642
RS_GCF_000483165.1	Acholeplasma multilocale ATCC 49900
RS_GCF_000483465.1	Pseudomonas sp. LAIL14HWK12:I7
RS_GCF_000483485.1	Thiomicrospira chilensis DSM 12352
RS_GCF_000483585.1	Streptococcus pyogenes GA41394
RS_GCF_000484505.1	Clostridium autoethanogenum DSM 10061
RS_GCF_000484535.1	Gloeobacter kilaueensis JS1
RS_GCF_000484595.1	Sporosarcina sp. EUR3 2.2.2
RS_GCF_000484635.1	Comamonas badia DSM 17552
RS_GCF_000484655.1	Blautia wexlerae DSM 19850
RS_GCF_000484695.1	Salinispora pacifica CNY202
RS_GCF_000485555.1	Mycoplasma salivarium ATCC 23064
RS_GCF_000485795.1	Shewanella decolorationis S12
RS_GCF_000485815.1	Synechococcus sp. NKBG15041c
RS_GCF_000485845.1	Candidatus Rickettsia gravesii BWI-1
RS_GCF_000485905.1	Spiribacter sp. UAH-SP71
RS_GCF_000485925.1	Cronobacter turicensis z508
RS_GCF_000485965.1	Franconibacter pulveris 1160
RS_GCF_000486005.1	Franconibacter helveticus 1159
RS_GCF_000486225.1	Salmonella enterica subsp. indica serovar 6,14,25:z10:1,
RS_GCF_000487975.1	Acinetobacter lwoffii NCTC 5866 / CIP 64.10 / NIPH 512
RS_GCF_000487995.1	Mucispirillum schaedleri ASF457
RS_GCF_000488195.1	Acinetobacter gyllenbergii NIPH 230
RS_GCF_000488215.1	Acinetobacter nectaris CIP 110549
RS_GCF_000488255.1	Acinetobacter indicus CIP 110367
RS_GCF_000488275.1	Acinetobacter brisouii CIP 110357
RS_GCF_000488855.1	Eubacterium brachy ATCC 33089
RS_GCF_000492175.1	Firmicutes bacterium ASF500
RS_GCF_000493375.1	Bacillus velezensis NAU-B3
RS_GCF_000493735.1	Carnobacterium inhibens subsp. gilichinskyi
RS_GCF_000493775.1	Streptococcus dysgalactiae subsp. equisimilis 167
RS_GCF_000493795.1	Parvimonas micra A293
RS_GCF_000493815.1	Fusobacterium nucleatum W1481
RS_GCF_000493885.1	Chlamydia suis MD56
RS_GCF_000494755.1	Actinoplanes friuliensis DSM 7358
RS_GCF_000494875.1	Staphylococcus pasteuri SP1
RS_GCF_000494915.1	Pseudomonas sp. VLB120
RS_GCF_000495255.1	Wheat blue dwarf phytoplasma
RS_GCF_000495435.3	Youngiibacter fragilis 232.1
RS_GCF_000495505.1	Campylobacter fetus subsp. testudinum 03-427
RS_GCF_000495575.1	Pseudoalteromonas luteoviolacea 2ta16
RS_GCF_000495635.1	Streptomyces sp. GBA 94-10
RS_GCF_000495755.1	Streptomyces sp. PVA 94-07
RS_GCF_000495775.1	Asticcacaulis benevestitus DSM 16100 / ATCC BAA-896
RS_GCF_000495795.1	Asticcacaulis sp. AC460
RS_GCF_000495815.1	Asticcacaulis sp. AC466
